Clustername 1	Clustername 2	Raw distance	Squared similarity	Jaccard index	DSS index	Adjacency index	raw DSS non-anchor	raw DSS anchor	Non-anchor domains	Anchor domains	Combined group	Shared group
BGC0000031.1.region001	BGC0001533.1.region001	0.01744738593697548	0.9654096364974976	1.0	0.9770429134368896	1.0	0.026065824553370476	0.005739469081163406	72	13	T1PKS - T1PKS	T1PKS
BGC0001436.1.region002	BGC0001557.1.region002	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	16	2	T1PKS - T1PKS	T1PKS
BGC0000029.1.region001	BGC0000097.1.region001	0.17752160131931305	0.6764706969261169	0.9166666865348816	0.793637752532959	0.8823529481887817	0.22909829020500183	0.13653019070625305	86	28	T1PKS - T1PKS	T1PKS
BGC0000116.1.region001	BGC0001709.1.region001	0.2430420070886612	0.5729854106903076	0.9047619104385376	0.7151781320571899	0.71875	0.33463338017463684	0.14063064754009247	110	38	T1PKS - T1PKS	T1PKS
BGC0001360.1.region001	BGC0001677.1.region001	0.2602296471595764	0.5472601652145386	0.8125	0.7250267863273621	0.5	0.2191113531589508	0.6380752921104431	13	2	T1PKS - T1PKS	T1PKS
BGC0001377.1.region001	BGC0001815.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	29	2	T1PKS - T1PKS	T1PKS
BGC0000100.1.region001	BGC0001670.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	90	26	T1PKS - T1PKS	T1PKS
BGC0001854.1.region001	BGC0001901.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	18	4	T1PKS - T1PKS	T1PKS
BGC0000130.1.region001	BGC0000132.1.region001	0.22903481125831604	0.5943873524665833	0.8888888955116272	0.737381100654602	0.75	0.2572321593761444	0.3084060251712799	17	2	T1PKS - T1PKS	T1PKS
BGC0000004.1.region001	BGC0000009.1.region001	0.11956383287906647	0.7751678228378296	0.9411764740943909	0.863862156867981	0.8421052694320679	0.15978561341762543	0.0415467843413353	16	4	T1PKS - T1PKS	T1PKS
